Year,Natural Gas $/MMBtu,Electricity $/MMBtu
2025,17.551153,75.568092
2026,17.227358,70.066666
2027,16.820618,61.776489
2028,16.498426,60.900608
2029,16.222837,60.18243
2030,15.950492,60.28809
2031,15.988708,60.165257
2032,16.084709,61.366169
2033,16.19458,63.80769
2034,16.254168,63.844917
2035,16.279247,63.769218
2036,16.283876,63.466061
2037,16.243937,63.558502
2038,16.197388,63.179832
2039,16.14723,62.875862
2040,16.130243,62.578423
2041,16.143913,62.780273
2042,16.15727,63.144684
2043,16.1712,63.517681
2044,16.152096,63.754128
2045,16.137041,64.202591
2046,16.136597,64.951126
2047,16.131094,65.582756
2048,16.100727,65.99688
2049,16.088835,66.390297
2050,16.049294,66.911972
